Geoname ID,Name,ASCII Name,Alternate Names,Feature Class,Feature Code,Country Code,Country name EN,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,LABEL EN,Coordinates
457161,Naukšēni,Naukseni,"Myza Nauksheny,Naukseni,Nauksenu Muiza,Nauksheni,Nauksheny,Naukšēni,Naukšēnu Muiža,Nauskuela,Nausküla,Наукшени",P,PPLA2,LV,Latvia,,31,0967372,,,0,,51,Europe/Riga,2021-08-16,Latvia,"57.88349, 25.45609"
457890,Limbaži,Limbazi,"Lemsal,Lemzal,Limbaze,Limbazhi,Limbazi,Limbaziai,Limbaži,Limbažiai,Limbažē,limbaji,lin ba ri,lymbajy,lymbazhy,Лимбажи,Лімбажі,ليمباجي,لیمباژی,林巴日,림바지",P,PPLA,LV,Latvia,,18,0660201,,,8974,,78,Europe/Riga,2016-12-02,Latvia,"57.51287, 24.71941"
459419,Jaunciems,Jaunciems,"Jaunciems,Yauntsiyems,Яунциемс",P,PPL,LV,Latvia,,25,0010000,,,2684,,4,Europe/Riga,2016-12-02,Latvia,"57.0391, 24.17413"
460570,Cēsis,Cesis,"Cesis,Cesys,Ciesis,Cēsis,Cėsys,Kies,Kieś,Tsesis,Venden,Wenden,cai xi si,chesiseu,chyss,ssys,tsueshisu,zsys,Цесис,Цесіс,צסיס,سسيس,سسیس,چیسس,ツェーシス,采西斯,체시스",P,PPLA,LV,Latvia,,05,0420201,,,18198,,102,Europe/Riga,2016-12-02,Latvia,"57.31188, 25.27456"
461615,Aizkraukle,Aizkraukle,"Aizkraukle,Aizkraukles Muiza,Aizkraukles Muiža,Aizkrauklė,Ajzkraukle,Ajzkraukleh,Ascheraden,Asscrade,Ayzkraukle,ai zi ke lao ke lei,aiseukeulaukeulle,ayzakrawkl,ayzkrawkl,ejakaraukala,Айзкраукле,Айзкраўклэ,Ајзкраукле,אייזקראוקלה,آئزکراوکلے,آيزاكراوكل,آیزکراوکل,ਏਜਕਰੌਕਲ,აიზკრაუკლე,愛茲克勞克雷,아이스크라우클레",P,PPLA,LV,Latvia,,01,0320201,,,8840,,88,Europe/Riga,2021-08-03,Latvia,"56.60477, 25.25534"
454584,Valdemārpils,Valdemarpils,"Sassmacken,Saßmacken",P,PPL,LV,Latvia,,28,0880217,,,1447,,56,Europe/Riga,2021-11-10,Latvia,"57.37068, 22.59188"
454602,Vaiņode,Vainode,"Vain'ody,Vainode,Vainodes,Vain’ody,Vaiņode,Vaiņodes,Vaynede,Vaynëde",P,PPLA2,LV,Latvia,,DN,0649392,,,0,,149,Europe/Riga,2021-08-16,Latvia,"56.41848, 21.85405"
457388,Mežaparks,Mezaparks,"Kaiserwald,Mezaparks,Mezhapark,Mezhaparks,Mežaparks",P,PPLX,LV,Latvia,,25,0010000,,,4500,,11,Europe/Riga,2020-06-10,Latvia,"57.00008, 24.15997"
459283,Jēkabpils,Jekabpils,"Ekabpils,Jakobstadt,Jakubmists,Jekabpeles,Jekabpilis,Jekabpils,Jiekabpelis,Jiekabpėlis,Jākubmīsts,Jēkabpils,Jėkabpilis,Jėkabpėlės,iekabupirusu,jikabapilasa,jykabbyls,ye ka bu pi er si,yekabpilseu,ykabpyls,yqbpyls,Єкабпілс,Јекабпилс,Екабпилс,Екабпілс,Йекабпилс,יקבפילס,جيكاببيلس,یکابپیلس,ਜੀਕਾਬਪਿਲਸ,იეკაბპილსი,イェーカブピルス,葉卡布皮爾斯,예캅필스",P,PPLA,LV,Latvia,,10,,,,27078,,83,Europe/Riga,2022-08-30,Latvia,"56.49903, 25.85735"
459598,Ikšķile,Ikskile,"Ikshkile,Ikshtile,Ikskile,Ikškilė,Ikšķile,Ykskylae,Ykskylä,Икшкиле",P,PPL,LV,Latvia,,21,0740605,,,7278,,33,Europe/Riga,2021-11-09,Latvia,"56.83399, 24.49679"
